type,code,name,,,code
水泥,1101,台泥1101,台泥,台泥 1101,1101
水泥,1102,亞泥1102,亞泥,亞泥 1102,1102
水泥,1103,嘉泥1103,嘉泥,嘉泥 1103,1103
水泥,1104,環泥1104,環泥,環泥 1104,1104
水泥,1108,幸福1108,幸福,幸福 1108,1108
水泥,1109,信大1109,信大,信大 1109,1109
水泥,1110,東泥1110,東泥,東泥 1110,1110
食品,1201,味全1201,味全,味全 1201,1201
食品,1203,味王1203,味王,味王 1203,1203
食品,1210,大成1210,大成,大成 1210,1210
食品,1213,大飲1213,大飲,大飲 1213,1213
食品,1215,卜蜂1215,卜蜂,卜蜂 1215,1215
食品,1216,統一1216,統一,統一 1216,1216
食品,1217,愛之味1217,愛之味,愛之味 1217,1217
食品,1218,泰山1218,泰山,泰山 1218,1218
食品,1219,福壽1219,福壽,福壽 1219,1219
食品,1220,台榮1220,台榮,台榮 1220,1220
食品,1225,福懋油1225,福懋油,福懋油 1225,1225
食品,1227,佳格1227,佳格,佳格 1227,1227
食品,1229,聯華1229,聯華,聯華 1229,1229
食品,1231,聯華食1231,聯華食,聯華食 1231,1231
食品,1232,大統益1232,大統益,大統益 1232,1232
食品,1233,天仁1233,天仁,天仁 1233,1233
食品,1234,黑松1234,黑松,黑松 1234,1234
食品,1235,興泰1235,興泰,興泰 1235,1235
食品,1236,宏亞1236,宏亞,宏亞 1236,1236
食品,1256,鮮活果汁-KY1256,鮮活果汁-KY,鮮活果汁-KY 1256,1256
食品,1702,南僑1702,南僑,南僑 1702,1702
食品,1737,臺鹽1737,臺鹽,臺鹽 1737,1737
塑膠,1301,台塑1301,台塑,台塑 1301,1301
塑膠,1303,南亞1303,南亞,南亞 1303,1303
塑膠,1304,台聚1304,台聚,台聚 1304,1304
塑膠,1305,華夏1305,華夏,華夏 1305,1305
塑膠,1307,三芳1307,三芳,三芳 1307,1307
塑膠,1308,亞聚1308,亞聚,亞聚 1308,1308
塑膠,1309,台達化1309,台達化,台達化 1309,1309
塑膠,1310,台苯1310,台苯,台苯 1310,1310
塑膠,1312,國喬1312,國喬,國喬 1312,1312
塑膠,1313,聯成1313,聯成,聯成 1313,1313
塑膠,1314,中石化1314,中石化,中石化 1314,1314
塑膠,1315,達新1315,達新,達新 1315,1315
塑膠,1319,東陽1319,東陽,東陽 1319,1319
塑膠,1321,大洋1321,大洋,大洋 1321,1321
塑膠,1323,永裕1323,永裕,永裕 1323,1323
塑膠,1324,地球1324,地球,地球 1324,1324
塑膠,1325,恆大1325,恆大,恆大 1325,1325
塑膠,1326,台化1326,台化,台化 1326,1326
塑膠,1337,再生-KY1337,再生-KY,再生-KY 1337,1337
塑膠,1339,昭輝1339,昭輝,昭輝 1339,1339
塑膠,1340,勝悅-KY1340,勝悅-KY,勝悅-KY 1340,1340
塑膠,1715,萬洲1715,萬洲,萬洲 1715,1715
塑膠,4306,炎洲4306,炎洲,炎洲 4306,4306
紡織纖維 ,1402,遠東新1402,遠東新,遠東新 1402,1402
紡織纖維 ,1409,新纖1409,新纖,新纖 1409,1409
紡織纖維 ,1410,南染1410,南染,南染 1410,1410
紡織纖維 ,1413,宏洲1413,宏洲,宏洲 1413,1413
紡織纖維 ,1414,東和1414,東和,東和 1414,1414
紡織纖維 ,1416,廣豐1416,廣豐,廣豐 1416,1416
紡織纖維 ,1417,嘉裕1417,嘉裕,嘉裕 1417,1417
紡織纖維 ,1418,東華1418,東華,東華 1418,1418
紡織纖維 ,1419,新紡1419,新紡,新紡 1419,1419
紡織纖維 ,1423,利華1423,利華,利華 1423,1423
紡織纖維 ,1432,大魯閣1432,大魯閣,大魯閣 1432,1432
紡織纖維 ,1434,福懋1434,福懋,福懋 1434,1434
紡織纖維 ,1439,中和1439,中和,中和 1439,1439
紡織纖維 ,1440,南紡1440,南紡,南紡 1440,1440
紡織纖維 ,1441,大東1441,大東,大東 1441,1441
紡織纖維 ,1443,立益1443,立益,立益 1443,1443
紡織纖維 ,1444,力麗1444,力麗,力麗 1444,1444
紡織纖維 ,1445,大宇1445,大宇,大宇 1445,1445
紡織纖維 ,1446,宏和1446,宏和,宏和 1446,1446
紡織纖維 ,1447,力鵬1447,力鵬,力鵬 1447,1447
紡織纖維 ,1449,佳和1449,佳和,佳和 1449,1449
紡織纖維 ,1451,年興1451,年興,年興 1451,1451
紡織纖維 ,1452,宏益1452,宏益,宏益 1452,1452
紡織纖維 ,1453,大將1453,大將,大將 1453,1453
紡織纖維 ,1454,台富1454,台富,台富 1454,1454
紡織纖維 ,1455,集盛1455,集盛,集盛 1455,1455
紡織纖維 ,1456,怡華1456,怡華,怡華 1456,1456
紡織纖維 ,1457,宜進1457,宜進,宜進 1457,1457
紡織纖維 ,1459,聯發1459,聯發,聯發 1459,1459
紡織纖維 ,1460,宏遠1460,宏遠,宏遠 1460,1460
紡織纖維 ,1463,強盛1463,強盛,強盛 1463,1463
紡織纖維 ,1464,得力1464,得力,得力 1464,1464
紡織纖維 ,1465,偉全1465,偉全,偉全 1465,1465
紡織纖維 ,1466,聚隆1466,聚隆,聚隆 1466,1466
紡織纖維 ,1467,南緯1467,南緯,南緯 1467,1467
紡織纖維 ,1468,昶和1468,昶和,昶和 1468,1468
紡織纖維 ,1469,理隆1469,理隆,理隆 1469,1469
紡織纖維 ,1470,大統染1470,大統染,大統染 1470,1470
紡織纖維 ,1472,三洋紡1472,三洋紡,三洋紡 1472,1472
紡織纖維 ,1473,台南1473,台南,台南 1473,1473
紡織纖維 ,1474,弘裕1474,弘裕,弘裕 1474,1474
紡織纖維 ,1475,本盟1475,本盟,本盟 1475,1475
紡織纖維 ,1476,儒鴻1476,儒鴻,儒鴻 1476,1476
紡織纖維 ,1477,聚陽1477,聚陽,聚陽 1477,1477
紡織纖維 ,4414,如興4414,如興,如興 4414,4414
紡織纖維 ,4426,利勤4426,利勤,利勤 4426,4426
電機機械 ,1503,士電1503,士電,士電 1503,1503
電機機械 ,1504,東元1504,東元,東元 1504,1504
電機機械 ,1506,正道1506,正道,正道 1506,1506
電機機械 ,1507,永大1507,永大,永大 1507,1507
電機機械 ,1512,瑞利1512,瑞利,瑞利 1512,1512
電機機械 ,1513,中興電1513,中興電,中興電 1513,1513
電機機械 ,1514,亞力1514,亞力,亞力 1514,1514
電機機械 ,1515,力山1515,力山,力山 1515,1515
